Alcanna Inc. | CLIQ | Volume: 52304 | Value: 9.28 | Open: 9.70 | High: 9.70 | SharesOut.: 37047306 | Beta: 0.382 | Prev.Close: 9.50 | Low: 9.26 | MarketCap: 343799000 | VWAP: 9.386152 | Dividend: 0.090CAD | Div.Frequency: Quarterly | P/ERatio: N/A | EPS: -0.990000 | Yield: 3.879 | Ex-DivDate: 06/28/2018 | P/BRatio: 1.202 | Exchange: TSX | 
Capstone Mining Corp. | CS | Volume: 478969 | Value: 1.02 | Open: 1.04 | High: 1.05 | SharesOut.: 398903483 | Beta: 4.260 | Prev.Close: 1.04 | Low: 1.02 | MarketCap: 406881553 | VWAP: 1.027409 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 4.800 | EPS: 0.230000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.395 | Exchange: TSX | 
Cardinal Energy Ltd. | CJ | Volume: 572976 | Value: 5.52 | Open: 5.49 | High: 5.60 | SharesOut.: 114213787 | Beta: 3.023 | Prev.Close: 5.45 | Low: 5.49 | MarketCap: 630460104 | VWAP: 5.544710 | Dividend: 0.035CAD | Div.Frequency: Monthly | P/ERatio: N/A | EPS: -0.610000 | Yield: 7.609 | Ex-DivDate: 06/28/2018 | P/BRatio: 0.853 | Exchange: TSX | 
Cardinal Resources Limited | CDV | Volume: 0 | Value: 0.425 | Open: N/A | High: N/A | SharesOut.: 371370549 | Beta: -0.483 | Prev.Close: 0.425 | Low: N/A | MarketCap: 157832483 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: N/A | Exchange: TSX | 
Cargojet Inc. | CJT | Volume: 7233 | Value: 64.25 | Open: 64.51 | High: 65.02 | SharesOut.: 13112859 | Beta: 1.222 | Prev.Close: 64.50 | Low: 64.12 | MarketCap: 842501191 | VWAP: 64.574178 | Dividend: 0.212CAD | Div.Frequency: Quarterly | P/ERatio: 31.600 | EPS: 2.050000 | Yield: 1.320 | Ex-DivDate: 06/19/2018 | P/BRatio: 5.548 | Exchange: TSX | 
Caribbean Utilities Company, Ltd. | CUP.U | Volume: 0 | Value: 13.00 | Open: N/A | High: N/A | SharesOut.: 33044658 | Beta: 0.259 | Prev.Close: 13.00 | Low: N/A | MarketCap: 429580554 | VWAP: N/A | Dividend: 0.175USD | Div.Frequency: Quarterly | P/ERatio: 19.800 | EPS: 0.700000 | Yield: 5.385 | Ex-DivDate: 05/31/2018 | P/BRatio: 1.935 | Exchange: TSX | 
Carmanah Technologies Corporation | CMH | Volume: 1400 | Value: 4.64 | Open: 4.64 | High: 4.66 | SharesOut.: 18922210 | Beta: -0.752 | Prev.Close: 4.70 | Low: 4.63 | MarketCap: 87799054 | VWAP: 4.635714 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 8.300 | EPS: 0.610000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.077 | Exchange: TSX | 
Cascades Inc. | CAS | Volume: 198008 | Value: 12.10 | Open: 12.02 | High: 12.15 | SharesOut.: 94814821 | Beta: -0.348 | Prev.Close: 12.01 | Low: 11.99 | MarketCap: 1147259334 | VWAP: 12.050732 | Dividend: 0.040CAD | Div.Frequency: Quarterly | P/ERatio: 2.400 | EPS: 5.350000 | Yield: 1.322 | Ex-DivDate: 05/22/2018 | P/BRatio: 0.757 | Exchange: TSX | 
Cathedral Energy Services Ltd. | CET | Volume: 14770 | Value: 1.17 | Open: 1.20 | High: 1.20 | SharesOut.: 49438117 | Beta: 3.252 | Prev.Close: 1.17 | Low: 1.17 | MarketCap: 57842597 | VWAP: 1.185918 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.05 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.562 | Exchange: TSX | 
CCL Industries Inc. | CCL.A | Volume: 0 | Value: 66.00 | Open: N/A | High: N/A | SharesOut.: 11836250 | Beta: 0.051 | Prev.Close: 66.00 | Low: N/A | MarketCap: 781192500 | VWAP: N/A | Dividend: 0.128CAD | Div.Frequency: Quarterly | P/ERatio: 23.000 | EPS: 2.870000 | Yield: 0.773 | Ex-DivDate: 06/14/2018 | P/BRatio: 4.871 | Exchange: TSX | 
Celestica Inc. | CLS | Volume: 373858 | Value: 15.74 | Open: 15.65 | High: 15.95 | SharesOut.: 120951016 | Beta: 0.526 | Prev.Close: 15.61 | Low: 15.65 | MarketCap: 1903768992 | VWAP: 15.764090 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 18.100 | EPS: 0.860000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 1.218 | Exchange: TSX | 
Cenovus Energy Inc. | CVE | Volume: 3651505 | Value: 13.55 | Open: 13.49 | High: 13.69 | SharesOut.: 1228698567 | Beta: 1.696 | Prev.Close: 13.27 | Low: 13.475 | MarketCap: 16648865583 | VWAP: 13.581373 | Dividend: 0.050CAD | Div.Frequency: Quarterly | P/ERatio: 6.000 | EPS: 2.270000 | Yield: 1.476 | Ex-DivDate: 06/14/2018 | P/BRatio: 0.859 | Exchange: TSX | 
Centamin plc | CEE | Volume: 3600 | Value: 2.08 | Open: 2.07 | High: 2.08 | SharesOut.: 1154722984 | Beta: 1.355 | Prev.Close: 2.10 | Low: 2.04 | MarketCap: 2401823807 | VWAP: 2.054722 | Dividend: 0.100USD | Div.Frequency: Unspecified | P/ERatio: N/A | EPS: 0.120000 | Yield: 7.576 | Ex-DivDate: 03/27/2018 | P/BRatio: N/A | Exchange: TSX | 
Centerra Gold Inc. | CG | Volume: 1069444 | Value: 7.44 | Open: 7.08 | High: 7.53 | SharesOut.: 291822674 | Beta: 1.197 | Prev.Close: 7.07 | Low: 7.08 | MarketCap: 2171160695 | VWAP: 7.427091 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 10.000 | EPS: 0.710000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.800 | Exchange: TSX | 
Centric Health Corporation | CHH | Volume: 169886 | Value: 0.29 | Open: 0.295 | High: 0.295 | SharesOut.: 208662127 | Beta: 0.621 | Prev.Close: 0.295 | Low: 0.285 | MarketCap: 60512017 | VWAP: 0.289631 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 14.100 | EPS: 0.020000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 3.222 | Exchange: TSX | 
Century Global Commodities Corporation | CNT | Volume: 0 | Value: 0.16 | Open: N/A | High: N/A | SharesOut.: 98494571 | Beta: 0.239 | Prev.Close: 0.16 | Low: N/A | MarketCap: 15759131 | VWAP: N/A | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.040000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.457 | Exchange: TSX | 
Cequence Energy Ltd. | CQE | Volume: 446906 | Value: 0.075 | Open: 0.075 | High: 0.08 | SharesOut.: 245527883 | Beta: 4.176 | Prev.Close: 0.075 | Low: 0.07 | MarketCap: 18414591 | VWAP: 0.075437 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.400000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.123 | Exchange: TSX | 
Ceres Global Ag Corp. | CRP | Volume: 1000 | Value: 4.09 | Open: 4.07 | High: 4.09 | SharesOut.: 27934991 | Beta: 0.110 | Prev.Close: 4.04 | Low: 4.07 | MarketCap: 114254113 | VWAP: 4.073 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: N/A | EPS: -0.510000 | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 0.584 | Exchange: TSX | 
Ceridian HCM Holding Inc. | CDAY | Volume: 750 | Value: 45.93 | Open: 46.32 | High: 46.32 | SharesOut.: 133342194 | Beta: 4.432 | Prev.Close: 46.64 | Low: 45.93 | MarketCap: 6124406970 | VWAP: 46.158571 | Dividend: N/A | Div.Frequency: N/A | P/ERatio: 513.100 | EPS: N/A | Yield: N/A | Ex-DivDate: N/A | P/BRatio: 5.391 | Exchange: TSX | 
